
Section: Summary   Original data
Tabulated Data:   pendf.json   endf.json
Points: 799
Energy (eV)	 
Min
1e-05	Max
2e+07	
From
1e-05
To
2e+07
Get data:
Calculation of Cross Section
for a Single Energy:
Energy (eV) = 
1e-05
Cross Section (b) = 
#LIBRARY    ENDF/B-VIII.0
#REACTION   LI-6(N,TOT),SIG
#NUCLEUS    Li-6
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1.20846E+06 1.23464      Lin-Lin
 1.21693E+06 1.23406      Lin-Lin
 1.3E+06     1.22939      Lin-Lin
 1.32764E+06 1.22982      Lin-Lin
 1.40988E+06 1.23192      Lin-Lin
 1.43978E+06 1.23463      Lin-Lin
 1.48649E+06 1.23921      Lin-Lin
 1.51058E+06 1.24157      Lin-Lin
 1.6E+06     1.2562       Lin-Lin
 1.61129E+06 1.25815      Lin-Lin
 1.71199E+06 1.28243      Lin-Lin
 1.7515E+06  1.29489      Lin-Lin
 1.8E+06     1.31518      Lin-Lin
 1.82539E+06 1.32472      Lin-Lin
 1.84E+06    1.33075      Lin-Lin
 1.9E+06     1.35463      Lin-Lin
 1.93354E+06 1.36806      Lin-Lin
 2E+06       1.39353      Lin-Lin
 2.01411E+06 1.39883      Lin-Lin
 2.0435E+06  1.40948      Lin-Lin
 2.1E+06     1.42943      Lin-Lin
 2.10222E+06 1.43019      Lin-Lin
 2.11481E+06 1.43447      Lin-Lin
 2.2E+06     1.46255      Lin-Lin
 2.26587E+06 1.49179      Lin-Lin
 2.3E+06     1.5066       Lin-Lin
 2.3354E+06  1.52089      Lin-Lin
 2.4E+06     1.54672      Lin-Lin
 2.48456E+06 1.58472      Lin-Lin
 2.5E+06     1.59206      Lin-Lin
 2.53481E+06 1.61235      Lin-Lin
 2.55E+06    1.62117      Lin-Lin
 2.5514E+06  1.62194      Lin-Lin
 2.6E+06     1.65095      Lin-Lin
 2.6273E+06  1.6657       Lin-Lin
 2.66869E+06 1.69025      Lin-Lin
 2.7E+06     1.70589      Lin-Lin
 2.73809E+06 1.72663      Lin-Lin
 2.8E+06     1.75712      Lin-Lin
